,2004,,,,,,2005,,,,,,2006,,,,,,2007,,,,,,2008,,,,,,2009,,,,,,2010,,,,,,2011,,,,,,2012,,,,,,2013,,,,,,2014,,,,,,2015,,,,,,2016,,,,,,2017,,,,,,2018,,,,,,2019,,,,,,2020,,,,,,2021,,,,,,2022,,,,,,2023,,,,,,2024,,
,1º trimestre,2º trimestre,3º trimestre,4º trimestre,Total,,1º trimestre,2º trimestre,3º trimestre,4º trimestre,Total,,1º trimestre,2º trimestre,3º trimestre,4º trimestre,Total,,1º trimestre,2º trimestre,3º trimestre,4º trimestre,Total,,1º trimestre,2º trimestre,3º trimestre,4º trimestre,Total,,1º trimestre,2º trimestre,3º trimestre,4º trimestre,Total,,1º trimestre,2º trimestre,3º trimestre,4º trimestre,Total,,1º trimestre,2º trimestre,3º trimestre,4º trimestre,Total,,1º trimestre,2º trimestre,3º trimestre,4º trimestre,Total,,1º trimestre,2º trimestre,3º trimestre,4º trimestre,Total,,1º trimestre,2º trimestre,3º trimestre,4º trimestre,Total,,1º trimestre,2º trimestre,3º trimestre,4º trimestre,Total,,1º trimestre,2º trimestre,3º trimestre,4º trimestre,Total,,1º trimestre,2º trimestre,3º trimestre,4º trimestre,Total,,1º trimestre,2º trimestre,3º trimestre,4º trimestre,Total,,1º trimestre,2º trimestre,3º trimestre,4º trimestre,Total,,1º trimestre,2º trimestre,3º trimestre,4º trimestre,Total,,1º trimestre,2º trimestre,3º trimestre,4º trimestre,Total,,1º trimestre,2º trimestre,3º trimestre,4º trimestre,Total,,1º trimestre,2º trimestre,3º trimestre,4º trimestre,Total,,1º trimestre,2º trimestre,3º trimestre
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valor agregado bruto a precios básicos,"390,787","439,743","406,579","412,601","412,427",,"419,641","498,534","437,277","445,761","450,303",,"451,524","525,867","477,872","482,693","484,489",,"485,615","575,227","510,805","521,609","523,314",,"513,983","603,851","539,985","513,459","542,819",,"483,000","532,732","512,817","518,187","511,684",,"513,703","621,308","557,180","559,799","562,998",,"552,173","646,899","590,445","584,565","593,520",,"558,391","614,896","582,963","584,095","585,086",,"558,890","650,956","595,017","587,118","597,996",,"554,540","642,098","576,457","575,375","587,117",,"558,293","669,072","597,180","587,215","602,940",,"558,905","642,653","578,253","578,680","589,623",,"562,186","657,180","597,803","601,979","604,787",,"581,304","627,003","579,600","566,224","588,533",,"551,087","636,444","569,162","559,481","579,043",,"524,375","513,804","511,472","537,119","521,692",,"540,299","611,933","570,781","582,004","576,254",,"575,497","651,718","603,912","590,916","605,511",,"583,119","614,194","601,574","585,696","596,145",,"555,226","608,670","589,270"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Agricultura, ganadería, caza y silvicultura ","31,507","65,745","28,754","30,495","39,125",,"35,665","91,464","28,908","31,396","46,858",,"34,290","85,997","31,559","31,376","45,805",,"35,833","100,599","31,867","32,158","50,114",,"35,233","98,311","32,468","29,489","48,875",,"29,781","58,364","28,307","27,523","35,994",,"33,045","106,261","30,899","33,050","50,814",,"36,790","96,797","31,511","32,714","49,453",,"34,319","74,014","32,050","31,021","42,851",,"36,096","91,073","31,769","31,335","47,568",,"34,578","98,121","32,109","31,533","49,085",,"36,008","110,971","32,471","32,137","52,897",,"35,390","100,989","32,063","32,755","50,299",,"37,133","103,050","32,540","34,435","51,789",,"37,536","70,024","32,038","35,308","43,726",,"40,559","103,765","35,952","35,519","53,949",,"38,095","92,057","34,777","35,545","50,119",,"39,981","89,026","35,008","38,809","50,706",,"44,067","84,333","34,541","33,718","49,165",,"36,152","45,936","32,018","35,822","37,482",,"39,512","83,621","36,234"
Cultivos agrícolas,"21,617","55,180","8,605","10,944","24,087",,"24,527","77,454","10,688","13,242","31,478",,"22,958","73,468","11,082","13,463","30,243",,"24,164","87,083","12,199","13,209","34,164",,"23,795","84,679","11,635","11,205","32,829",,"17,995","47,286","8,655","9,857","20,948",,"22,154","92,537","12,750","15,123","35,641",,"25,224","83,344","13,354","14,708","34,157",,"22,098","61,824","12,648","13,083","27,413",,"23,755","77,854","12,483","13,284","31,844",,"22,322","84,711","13,422","14,097","33,638",,"23,561","96,603","14,357","15,001","37,380",,"22,927","87,842","14,423","15,851","35,261",,"24,592","89,335","14,399","17,213","36,385",,"24,834","57,727","12,592","17,431","28,146",,"27,765","89,626","14,774","16,545","37,177",,"25,051","78,464","13,969","16,714","33,549",,"26,462","75,392","14,463","19,668","33,996",,"27,241","70,798","13,602","14,659","31,575",,"22,545","34,576","10,844","16,630","21,149",,"26,371","70,112","14,762"
Cría de animales,"6,804","4,015","16,634","14,657","10,527",,"8,281","7,020","15,627","12,869","10,949",,"8,255","5,293","17,122","13,089","10,940",,"8,304","5,099","16,492","13,414","10,827",,"7,726","4,926","17,518","13,132","10,825",,"8,430","4,987","16,553","12,649","10,655",,"7,813","4,805","14,718","11,526","9,715",,"8,185","5,020","14,740","11,619","9,891",,"8,115","4,602","16,093","12,326","10,284",,"8,292","4,825","15,833","12,250","10,300",,"8,222","4,452","15,094","11,636","9,851",,"8,232","4,749","14,431","11,151","9,641",,"8,227","3,740","13,864","10,620","9,113",,"8,007","3,723","14,228","10,860","9,205",,"8,364","4,013","15,731","11,378","9,872",,"8,278","4,015","17,188","12,310","10,448",,"8,748","4,379","16,930","12,198","10,564",,"8,910","4,398","16,509","12,075","10,473",,"12,078","4,593","17,092","12,378","11,535",,"9,257","4,649","17,194","12,223","10,831",,"8,635","4,494","17,581"
"Servicios agrícolas y pecuarios, excepto los veterinarios","1,739","4,610","1,474","3,456","2,820",,"1,691","5,198",757,"3,878","2,881",,"1,460","5,279",873,"3,196","2,702",,"1,826","6,265",877,"3,613","3,145",,"2,175","6,530","1,060","3,295","3,265",,"1,860","4,000",855,"3,146","2,465",,"1,561","6,782","1,194","4,538","3,519",,"1,875","6,292","1,172","4,530","3,467",,"2,515","5,386","1,018","3,663","3,145",,"2,379","6,114","1,066","3,741","3,325",,"2,361","6,679","1,202","3,734","3,494",,"2,467","7,271","1,207","3,807","3,688",,"2,380","7,010","1,257","3,981","3,657",,"2,634","7,619","1,340","3,987","3,895",,"2,379","5,889","1,200","4,051","3,380",,"2,737","7,871","1,439","4,066","4,028",,"2,528","7,056","1,378","4,043","3,751",,"2,694","6,939","1,410","4,270","3,828",,"2,857","6,666","1,357","3,954","3,709",,"2,598","4,467","1,191","4,090","3,087",,"2,788","7,053","1,364"
"Caza, repoblación de animales de caza y servicios conexos",0,182,142,0,81,,0,187,142,0,82,,0,171,163,0,84,,0,140,145,0,72,,0,187,186,0,94,,0,143,171,0,78,,0,180,198,0,95,,0,196,220,0,104,,0,141,170,0,78,,0,135,167,0,76,,0,132,166,0,75,,0,138,169,0,77,,0,101,127,0,57,,0,86,109,0,49,,0,87,107,0,49,,0,74,93,0,42,,0,33,43,0,19,,0,12,43,0,14,,0,25,39,0,16,,0,24,26,0,13,,0,9,18
Construcciones agropecuarias,597,999,991,287,718,,412,833,791,292,582,,439,846,860,261,601,,414,887,795,292,597,,422,874,710,234,560,,377,828,713,245,541,,396,830,673,234,533,,380,811,651,219,515,,387,842,645,202,519,,384,834,637,197,513,,382,827,630,193,508,,374,809,615,188,496,,368,791,599,182,485,,360,726,605,189,470,,365,723,590,172,462,,316,707,657,182,466,,309,671,679,201,465,,314,703,641,185,461,,296,661,637,203,449,,310,672,663,192,459,,283,579,629
